Request Number,Status Code,Response Time (ms)
1,200,915.609
2,200,14.839
3,200,19.861
4,200,17.468999999999998
5,200,17.272
6,200,14.834
7,200,15.383000000000001
8,200,16.514999999999997
9,200,16.2
10,200,17.663
11,200,14.76
12,200,13.941
13,200,13.613999999999999
14,200,14.667
15,200,14.08
16,200,16.149
17,200,14.133
18,200,13.235999999999999
19,200,13.411
20,200,15.652
21,200,16.309
22,200,15.231
23,200,15.145999999999999
24,200,15.868
25,200,16.222
26,200,15.607
27,200,16.570999999999998
28,200,15.637000000000002
29,200,15.334
30,200,15.071
31,200,17.259
32,200,16.719
33,200,19.463
34,200,18.578
35,200,14.984
36,200,13.511000000000001
37,200,16.329
38,200,13.222
39,200,14.355
40,200,17.057
41,200,14.645
42,200,15.898
43,200,14.343
44,200,13.958
45,200,16.385
46,200,13.134
47,200,19.401999999999997
48,200,15.065999999999999
49,200,13.582
50,200,14.385
51,200,15.514
52,200,14.295
53,200,13.771
54,200,14.382000000000001
55,200,14.828
56,200,13.267
57,200,14.713000000000001
58,200,15.501
59,200,15.288
60,200,15.291
61,200,14.607999999999999
62,200,12.514000000000001
63,200,13.498
64,200,12.999
65,200,13.106
66,200,13.482
67,200,13.209
68,200,13.315000000000001
69,200,13.305000000000001
70,200,13.710999999999999
71,200,14.47
72,200,13.736999999999998
73,200,13.134
74,200,13.248
75,200,15.129
76,200,13.809
77,200,15.524
78,200,13.94
79,200,14.024
80,200,15.975
81,200,13.025
82,200,13.699
83,200,12.171
84,200,13.054
85,200,12.236
86,200,12.540000000000001
87,200,12.761
88,200,14.192
89,200,11.93
90,200,12.853
91,200,11.596
92,200,12.193000000000001
93,200,15.215
94,200,14.31
95,200,16.015
96,200,15.677
97,200,14.773
98,200,14.788
99,200,15.781
100,200,13.542
101,200,13.572000000000001
102,200,15.171000000000001
103,200,14.462
104,200,14.738
105,200,14.848
106,200,13.854
107,200,16.301
108,200,22.446
109,200,29.163999999999998
110,200,17.538
111,200,16.580000000000002
112,200,13.238
113,200,13.728
114,200,11.948
115,200,12.286
116,200,13.428
117,200,16.8
118,200,14.924
119,200,12.635
120,200,12.474
121,200,12.737
122,200,13.133000000000001
123,200,13.635
124,200,13.538
125,200,12.738
126,200,12.128
127,200,12.401
128,200,13.870000000000001
129,200,12.862
130,200,14.711
131,200,13.375
132,200,13.555
133,200,13.891
134,200,15.233
135,200,12.89
136,200,12.106
137,200,12.234
138,200,13.922
139,200,15.153
140,200,13.105
141,200,12.389000000000001
142,200,12.261
143,200,13.169
144,200,13.378
145,200,14.854
146,200,15.006
147,200,14.495
148,200,13.252
149,200,14.05
150,200,24.81
151,200,14.066
152,200,13.700000000000001
153,200,14.227
154,200,13.994
155,200,14.614
156,200,15.234
157,200,15.286
158,200,15.414000000000001
159,200,15.225999999999999
160,200,14.304
161,200,16.153000000000002
162,200,15.845999999999998
163,200,15.464
164,200,16.105999999999998
165,200,14.826
166,200,13.561
167,200,15.501
