Request Number,Status Code,Response Time (ms)
1,200,22.232
2,200,17.275
3,200,16.916
4,200,15.758000000000001
5,200,16.942
6,200,18.961
7,200,16.227999999999998
8,200,16.29
9,200,17.73
10,200,15.875
11,200,15.533999999999999
12,200,17.634
13,200,18.298
14,200,15.626999999999999
15,200,17.971999999999998
16,200,16.154999999999998
17,200,20.854000000000003
18,200,24.192999999999998
19,200,18.253
20,200,15.865
21,200,16.695
22,200,15.95
23,200,16.664
24,200,16.201
25,200,17.676000000000002
26,200,15.596
27,200,15.821000000000002
28,200,16.026
29,200,17.895999999999997
30,200,18.756999999999998
31,200,16.691000000000003
32,200,15.422
33,200,16.491
34,200,19.018
35,200,18.433
36,200,15.955
37,200,16.135
38,200,17.165
39,200,15.299
40,200,18.07
41,200,16.674000000000003
42,200,16.5
43,200,15.701
44,200,17.752
45,200,18.286
46,200,17.796
47,200,16.522
48,200,15.532
49,200,15.539000000000001
50,200,18.106
51,200,16.275000000000002
52,200,16.315
53,200,17.775
54,200,15.988999999999999
55,200,16.685
56,200,18.258
57,200,17.765
58,200,16.044
59,200,21.144
60,200,18.388
61,200,19.15
62,200,16.979000000000003
63,200,17.416
64,200,16.311
65,200,15.995
66,200,18.156
67,200,16.427
68,200,23.817
69,200,16.026
70,200,18.433999999999997
71,200,18.165
72,200,16.894
73,200,18.503
74,200,16.997000000000003
75,200,17.696
76,200,16.404
77,200,17.357999999999997
78,200,15.956999999999999
79,200,15.466000000000001
80,200,16.018
81,200,15.318
82,200,17.155
83,200,17.080000000000002
84,200,16.642
85,200,18.034000000000002
86,200,14.956999999999999
87,200,14.844
88,200,16.01
89,200,18.272
90,200,23.366
91,200,16.547
92,200,16.703
93,200,16.558
94,200,14.795000000000002
95,200,14.911999999999999
96,200,15.214
97,200,17.614
98,200,16.303
99,200,17.215
100,200,17.407
101,200,16.518
102,200,17.081
103,200,18.464000000000002
104,200,18.764
105,200,17.994
106,200,17.237
107,200,17.003999999999998
108,200,16.91
109,200,17.555999999999997
110,200,17.017999999999997
111,200,17.581
112,200,16.243000000000002
113,200,16.82
114,200,19.173
115,200,19.434
116,200,17.155
117,200,16.616
118,200,17.543
119,200,15.046999999999999
120,200,17.729000000000003
121,200,16.118000000000002
122,200,15.243
123,200,15.232000000000001
124,200,15.211
125,200,15.757
126,200,17.125999999999998
127,200,15.442
128,200,22.498
129,200,17.999000000000002
130,200,15.996
131,200,20.721
132,200,19.535
133,200,17.75
134,200,15.273
135,200,16.426
136,200,16.72
137,200,16.289
138,200,22.192
139,200,15.415999999999999
140,200,16.098000000000003
141,200,17.785
142,200,18.265
143,200,16.099
144,200,15.9
145,200,19.498
146,200,18.689999999999998
147,200,16.853
148,200,22.381999999999998
149,200,17.453
150,200,16.777
151,200,16.214
152,200,16.7
153,200,16.649
154,200,24.207
155,200,17.302000000000003
156,200,15.802
157,200,15.902
158,200,14.942
159,200,16.402
160,200,16.692
161,200,18.398
162,200,15.773
163,200,15.044
164,200,15.386000000000001
165,200,17.606
166,200,16.294
167,200,23.219
168,200,16.18
169,200,23.412
170,200,23.094
171,200,15.375
172,200,16.045
173,200,22.991
174,200,15.8
175,200,17.631
176,200,16.787
177,200,16.93
178,200,16.401
179,200,16.078
180,200,16.951
181,200,16.198
182,200,15.375
183,200,15.588
184,200,15.315999999999999
185,200,16.046999999999997
186,200,16.744
187,200,25.39
188,200,17.253
189,200,17.048000000000002
190,200,15.733
191,200,15.112
192,200,16.326
193,200,16.014
194,200,17.086000000000002
195,200,17.21
196,200,19.921000000000003
197,200,16.587
198,200,17.021
199,200,16.882
200,200,20.91
201,200,19.476
202,200,17.971999999999998
203,200,16.173
204,200,17.056
205,200,16.621
206,200,16.292
207,200,15.972
208,200,14.938
209,200,15.34
210,200,16.997000000000003
211,200,16.097
212,200,17.435
213,200,17.555
214,200,16.88
215,200,41.596000000000004
216,200,15.506
217,200,15.733
218,200,16.881
219,200,17.784000000000002
220,200,16.377
221,200,20.627
222,200,16.6
223,200,15.193999999999999
224,200,16.119999999999997
225,200,15.886999999999999
226,200,16.660999999999998
227,200,16.867
228,200,18.936999999999998
229,200,16.295
230,200,16.052
231,200,15.699000000000002
232,200,15.948
233,200,15.483
234,200,16.655
235,200,16.865000000000002
236,200,17.733999999999998
237,200,17.025
238,200,15.966999999999999
239,200,18.193
240,200,18.03
241,200,16.369999999999997
242,200,15.85
243,200,21.309
244,200,17.330000000000002
245,200,15.432
246,200,15.809
247,200,16.157999999999998
248,200,15.72
249,200,16.011999999999997
250,200,16.441999999999997
251,200,21.105
252,200,17.085
253,200,19.279
254,200,16.469
255,200,16.729
256,200,17.472
257,200,15.571
258,200,16.614
259,200,16.259
260,200,16.904
261,200,15.503
262,200,21.345
263,200,16.53
264,200,17.137
265,200,16.328
266,200,15.261999999999999
267,200,16.584000000000003
268,200,20.246
269,200,17.172
