Request Number,Status Code,Response Time (ms)
1,200,19.68
2,200,15.853
3,200,16.154000000000003
4,200,16.278000000000002
5,200,15.796000000000001
6,200,14.256
7,200,17.271
8,200,15.892
9,200,16.831
10,200,15.751999999999999
11,200,15.517
12,200,15.155999999999999
13,200,14.742999999999999
14,200,15.272
15,200,15.436
16,200,15.339
17,200,14.773
18,200,15.207999999999998
19,200,14.534
20,200,14.311
21,200,16.126
22,200,15.471
23,200,15.852000000000002
24,200,15.256
25,200,16.199
26,200,14.279
27,200,15.537
28,200,15.259
29,200,13.754999999999999
30,200,14.102
31,200,15.347
32,200,15.481
33,200,14.16
34,200,15.209999999999999
35,200,16.535999999999998
36,200,16.261000000000003
37,200,15.275
38,200,15.841000000000001
39,200,15.466000000000001
40,200,15.116
41,200,14.041
42,200,16.241
43,200,15.091000000000001
44,200,14.719
45,200,14.293999999999999
46,200,14.975999999999999
47,200,14.429
48,200,14.296
49,200,15.366
50,200,15.099
51,200,14.496
52,200,14.966999999999999
53,200,14.938999999999998
54,200,15.552
55,200,14.447
56,200,15.657
57,200,16.424
58,200,14.874
59,200,14.959999999999999
60,200,15.608
61,200,15.827
62,200,17.230999999999998
63,200,15.499
64,200,14.445
65,200,15.286
66,200,15.344999999999999
67,200,14.987
68,200,15.748000000000001
69,200,17.477
70,200,15.225999999999999
71,200,14.943
72,200,14.795000000000002
73,200,14.585
74,200,14.341
75,200,15.365
76,200,14.44
77,200,14.704
78,200,15.037999999999998
79,200,15.914000000000001
80,200,15.952000000000002
81,200,17.858999999999998
82,200,15.636000000000001
83,200,15.032
84,200,14.183
85,200,14.995
86,200,15.354
87,200,17.565
88,200,18.363999999999997
89,200,16.93
90,200,17.829
91,200,17.01
92,200,17.128999999999998
93,200,17.562
94,200,16.653000000000002
95,200,17.63
96,200,16.162
97,200,17.154
98,200,16.327
99,200,16.654
100,200,16.202
101,200,16.578
102,200,16.613
103,200,16.567
104,200,16.757
105,200,16.954
106,200,19.756
107,200,17.198999999999998
108,200,15.866000000000001
109,200,18.886
110,200,16.317
111,200,20.183
112,200,16.587999999999997
113,200,16.71
114,200,17.541999999999998
115,200,16.549
116,200,16.581
117,200,15.332
118,200,14.58
119,200,15.169
120,200,14.839
121,200,15.685
122,200,14.845
123,200,14.404
124,200,15.301
125,200,14.718
126,200,15.665999999999999
127,200,14.834999999999999
128,200,15.537
129,200,14.736
130,200,13.934000000000001
131,200,14.213
132,200,16.062
133,200,16.097
134,200,15.991999999999999
135,200,14.975
136,200,14.678
137,200,13.865
138,200,13.563
139,200,14.8
140,200,15.173
141,200,14.456999999999999
142,200,15.452
143,200,14.731
144,200,15.011999999999999
145,200,14.131
146,200,17.080000000000002
147,200,14.798
148,200,16.348000000000003
149,200,16.037
150,200,16.605999999999998
151,200,15.113
152,200,14.989
153,200,15.056
154,200,14.508999999999999
155,200,15.638
156,200,14.849
157,200,14.829
158,200,14.282
159,200,15.025
160,200,15.073
161,200,14.040000000000001
162,200,14.773
163,200,14.152
164,200,15.782999999999998
165,200,14.974
166,200,15.757
167,200,14.229000000000001
168,200,14.891
169,200,13.052
170,200,14.029
171,200,13.633
172,200,15.682000000000002
173,200,14.19
174,200,14.064
175,200,15.774
176,200,14.641
177,200,14.082
178,200,13.613
179,200,14.915
180,200,15.438
181,200,14.527
182,200,15.136999999999999
183,200,13.893
184,200,14.026
185,200,15.280999999999999
186,200,14.889
187,200,15.938999999999998
188,200,15.834000000000001
189,200,16.168
190,200,16.233999999999998
191,200,15.751999999999999
192,200,15.287
193,200,16.688000000000002
194,200,15.947
195,200,16.552
196,200,16.757
197,200,16.177
198,200,16.834
199,200,15.753
200,200,15.892
201,200,15.657
202,200,17.253999999999998
203,200,14.825
204,200,14.809
205,200,14.914
206,200,16.124
207,200,13.565000000000001
208,200,13.549999999999999
209,200,13.598
210,200,14.587
211,200,15.544
212,200,15.042
213,200,14.33
214,200,14.858
215,200,14.491
216,200,13.828
217,200,16.365000000000002
218,200,17.155
219,200,18.297
220,200,21.688
221,200,18.189
222,200,16.369000000000003
223,200,40.550999999999995
224,200,15.503
225,200,16.192
226,200,15.054
227,200,15.848
228,200,16.665
229,200,16.466
230,200,17.69
231,200,15.781
232,200,16.315
233,200,13.471
234,200,13.293
235,200,14.206999999999999
236,200,14.221
237,200,13.835999999999999
238,200,13.721
239,200,15.200999999999999
240,200,14.636
241,200,14.029
242,200,13.303
243,200,15.827999999999998
244,200,13.655000000000001
245,200,13.764999999999999
246,200,14.404
247,200,14.876000000000001
248,200,14.451
249,200,15.09
250,200,15.229
251,200,16.715
252,200,17.076999999999998
253,200,14.534
254,200,16.083
255,200,14.1
256,200,14.437999999999999
257,200,15.278
258,200,15.353
259,200,16.385
260,200,16.768
261,200,15.58
262,200,14.141
263,200,15.296000000000001
264,200,15.303
265,200,14.519
266,200,15.432
267,200,14.276
268,200,16.217
269,200,14.923
270,200,14.328000000000001
271,200,14.926
272,200,13.74
273,200,14.753
274,200,14.289
275,200,15.218
276,200,15.31
277,200,14.196
278,200,14.487
279,200,14.807
280,200,14.915
281,200,14.623000000000001
282,200,15.155
283,200,16.336
284,200,14.888
285,200,14.701
286,200,15.713000000000001
287,200,14.290000000000001
288,200,14.785
289,200,13.977
290,200,14.072
291,200,15.019
292,200,14.657
293,200,15.671000000000001
294,200,14.647
295,200,15.215
296,200,15.579
297,200,16.226999999999997
298,200,14.269
299,200,14.141
300,200,13.934999999999999
301,200,14.589
302,200,15.504999999999999
303,200,14.418000000000001
304,200,13.258000000000001
305,200,14.031
306,200,13.525
307,200,14.002
