Request Number,Status Code,Response Time (ms)
1,200,343.196
2,200,236.748
3,200,235.071
4,200,233.685
5,200,236.985
6,200,236.83
7,200,233.192
8,200,233.368
9,200,233.132
10,200,235.593
11,200,235.982
12,200,235.421
13,200,236.024
14,200,235.679
15,200,233.179
16,200,235.702
17,200,232.922
18,200,236.44299999999998
19,200,233.16600000000003
20,200,233.967
21,200,234.945
22,200,234.75
23,200,233.706
24,200,237.382
25,200,234.18900000000002
26,200,233.79500000000002
27,200,119.617
28,200,122.44099999999999
29,200,119.11099999999999
30,200,120.401
31,200,121.60600000000001
32,200,119.16300000000001
33,200,118.08
34,200,117.21
35,200,117.48400000000001
36,200,118.294
37,200,117.893
38,200,119.307
39,200,124.21799999999999
40,200,119.385
41,200,120.833
42,200,123.708
43,200,117.045
44,200,118.17800000000001
45,200,118.881
46,200,119.61
47,200,120.53800000000001
48,200,118.627
49,200,121.639
50,200,118.875
51,200,118.338
52,200,118.145
53,200,117.24900000000001
54,200,119.252
55,200,119.912
56,200,129.463
57,200,120.56500000000001
58,200,120.27300000000001
59,200,118.917
60,200,120.932
61,200,123.00999999999999
62,200,120.358
63,200,119.771
64,200,234.025
65,200,234.599
66,200,235.014
67,200,242.696
68,200,247.745
69,200,233.956
70,200,1173.2450000000001
71,200,257.43
72,200,241.691
73,200,234.433
74,200,233.903
75,200,234.2
76,200,234.55
77,200,233.31799999999998
78,200,233.489
79,200,234.125
80,200,235.29
81,200,236.123
82,200,236.704
83,200,273.91900000000004
84,200,233.598
85,200,235.178
86,200,234.716
87,200,234.00199999999998
88,200,234.52100000000002
89,200,233.44899999999998
90,200,234.142
91,200,230.241
92,200,232.53199999999998
93,200,230.813
94,200,231.58
95,200,230.159
96,200,232.287
97,200,229.27700000000002
98,200,229.351
99,200,228.327
100,200,232.263
101,200,230.209
102,200,228.928
103,200,229.20499999999998
104,200,231.266
105,200,230.78099999999998
106,200,230.92
107,200,231.514
108,200,228.877
109,200,230.261
110,200,230.602
111,200,233.818
112,200,230.917
113,200,230.133
114,200,229.27
115,200,228.97799999999998
116,200,231.078
117,200,230.27100000000002
118,200,248.504
119,200,255.01600000000002
120,200,251.04100000000003
121,200,250.983
122,200,248.709
123,200,248.983
124,200,249.612
125,200,252.942
126,200,251.434
127,200,121.999
128,200,126.78800000000001
129,200,121.049
130,200,120.32600000000001
131,200,124.101
132,200,122.589
133,200,118.259
134,200,122.394
135,200,118.16
136,200,119.92999999999999
137,200,120.23100000000001
138,200,118.61099999999999
139,200,120.108
140,200,119.99600000000001
141,200,118.514
142,200,119.006
143,200,119.092
144,200,119.112
145,200,121.01
146,200,117.657
147,200,119.07600000000001
148,200,119.159
149,200,118.59400000000001
150,200,119.172
151,200,122.318
152,200,118.272
153,200,118.284
154,200,120.631
155,200,121.203
156,200,117.35600000000001
157,200,249.993
158,200,250.892
159,200,250.92
160,200,251.63799999999998
161,200,251.62400000000002
162,200,249.734
163,200,249.34400000000002
164,200,248.083
165,200,248.12400000000002
166,200,249.774
167,200,249.018
168,200,250.73499999999999
169,200,248.63299999999998
170,200,248.959
