Request Number,Status Code,Response Time (ms)
1,200,139.289
2,200,133.83700000000002
3,200,132.019
4,200,132.63400000000001
5,200,133.17000000000002
6,200,130.14600000000002
7,200,132.524
8,200,132.42399999999998
9,200,132.95299999999997
10,200,131.402
11,200,132.73499999999999
12,200,136.238
13,200,131.997
14,200,130.237
15,200,130.698
16,200,131.522
17,200,129.555
18,200,130.179
19,200,130.14800000000002
20,200,132.92499999999998
21,200,131.677
22,200,131.262
23,200,130.133
24,200,130.727
25,200,131.47
26,200,130.36700000000002
27,200,130.56799999999998
28,200,130.011
29,200,130.422
30,200,129.526
31,200,130.599
32,200,128.922
33,200,129.51399999999998
34,200,129.992
35,200,130.417
36,200,131.05800000000002
37,200,130.61800000000002
38,200,130.971
39,200,130.292
40,200,129.899
41,200,129.689
42,200,130.78699999999998
43,200,131.291
44,200,129.81699999999998
45,200,20.166
46,200,17.145
47,200,18.282
48,200,15.336
49,200,15.546000000000001
50,200,15.851
51,200,17.209
52,200,15.900999999999998
53,200,17.323999999999998
54,200,15.079
55,200,15.524
56,200,17.644
57,200,16.396
58,200,17.836000000000002
59,200,16.625
60,200,15.548
61,200,14.505
62,200,13.877
63,200,14.612
64,200,13.775
65,200,14.663
66,200,13.440999999999999
67,200,13.732
68,200,13.212
69,200,13.620000000000001
70,200,13.311
71,200,19.811
72,200,13.254
73,200,14.508000000000001
74,200,13.301
75,200,13.761000000000001
76,200,13.088000000000001
77,200,13.898000000000001
78,200,14.208
79,200,13.468
80,200,13.171999999999999
81,200,15.402000000000001
82,200,20.036
83,200,15.131
84,200,13.812
85,200,13.754000000000001
86,200,13.699
87,200,13.932
88,200,13.860000000000001
89,200,14.629
90,200,13.893
91,200,14.21
92,200,13.423
93,200,13.734
94,200,18.165
95,200,15.442
96,200,16.937
97,200,15.007
98,200,15.129
99,200,16.108
100,200,15.402000000000001
101,200,14.59
102,200,14.713000000000001
103,200,15.542
104,200,17.904
105,200,16.514999999999997
106,200,17.163
107,200,15.030999999999999
108,200,16.400000000000002
109,200,16.16
110,200,14.267999999999999
111,200,14.141
112,200,14.498000000000001
113,200,13.291
114,200,14.876000000000001
115,200,14.265
116,200,14.003
117,200,13.251000000000001
118,200,13.394
119,200,14.043999999999999
120,200,13.757
121,200,14.349
122,200,14.906
123,200,14.016
124,200,14.529
125,200,22.927
126,200,16.235
127,200,15.546000000000001
128,200,16.71
129,200,16.213
130,200,15.879000000000001
131,200,16.637
132,200,15.053
133,200,23.730999999999998
134,200,15.77
135,200,15.857
136,200,15.547
137,200,16.524
138,200,18.593
139,200,16.697
140,200,15.893
141,200,15.426
142,200,14.059000000000001
143,200,17.750999999999998
144,200,130.796
145,200,129.81
146,200,129.275
147,200,131.13
148,200,129.987
149,200,133.299
150,200,132.98
151,200,133.159
152,200,130.186
153,200,132.792
154,200,131.041
155,200,133.98
156,200,132.658
157,200,130.494
158,200,129.982
159,200,130.594
160,200,129.546
161,200,131.543
162,200,131.51399999999998
163,200,131.853
164,200,131.20499999999998
165,200,130.59699999999998
166,200,131.669
167,200,131.187
168,200,129.92100000000002
169,200,130.685
170,200,130.132
171,200,129.666
172,200,131.32
173,200,130.167
174,200,130.243
175,200,130.163
176,200,129.929
177,200,131.03300000000002
178,200,135.089
179,200,130.174
180,200,129.804
181,200,130.075
182,200,129.989
183,200,129.466
184,200,134.37199999999999
185,200,129.938
186,200,129.797
187,200,130.439
188,200,130.31400000000002
189,200,129.071
190,200,131.049
191,200,127.1
192,200,125.62799999999999
193,200,131.714
194,200,127.34899999999999
195,200,127.713
196,200,127.823
197,200,126.60199999999999
198,200,127.963
199,200,127.65199999999999
200,200,128.366
201,200,125.14
202,200,126.00500000000001
203,200,126.28200000000001
204,200,125.20200000000001
205,200,125.34600000000002
206,200,125.70600000000002
