Request Number,Status Code,Response Time (ms)
1,200,188.674
2,200,128.415
3,200,128.311
4,200,125.587
5,200,128.953
6,200,122.825
7,200,124.914
8,200,122.124
9,200,125.50200000000001
10,200,126.76599999999999
11,200,121.518
12,200,122.44800000000001
13,200,122.82300000000001
14,200,122.519
15,200,121.05000000000001
16,200,121.27799999999999
17,200,121.811
18,200,123.768
19,200,125.829
20,200,124.497
21,200,126.36500000000001
22,200,124.917
23,200,122.875
24,200,123.36
25,200,120.522
26,200,122.50800000000001
27,200,121.882
28,200,121.92
29,200,122.837
30,200,126.297
31,200,125.84500000000001
32,200,129.501
33,200,124.929
34,200,125.20700000000001
35,200,126.474
36,200,122.317
37,200,125.164
38,200,121.56500000000001
39,200,121.71600000000001
40,200,120.421
41,200,121.41499999999999
42,200,120.832
43,200,120.571
44,200,121.068
45,200,123.878
46,200,120.935
47,200,120.897
48,200,121.354
49,200,120.259
50,200,120.921
51,200,122.34299999999999
52,200,121.834
53,200,120.77799999999999
54,200,123.874
55,200,121.724
56,200,120.035
57,200,121.254
58,200,118.81
59,200,123.146
60,200,121.634
61,200,120.38
62,200,120.938
63,200,120.646
64,200,120.68299999999999
65,200,120.532
66,200,121.024
67,200,119.779
68,200,121.035
69,200,119.941
70,200,120.334
71,200,121.045
72,200,121.616
73,200,120.977
74,200,121.16499999999999
75,200,121.044
76,200,121.317
77,200,119.634
78,200,121.402
79,200,121.86800000000001
80,200,121.66000000000001
81,200,120.275
82,200,121.073
83,200,120.62
84,200,122.749
85,200,121.205
86,200,121.749
87,200,121.299
88,200,121.232
89,200,124.86
90,200,120.437
91,200,122.06599999999999
92,200,120.99300000000001
93,200,123.23299999999999
94,200,120.941
95,200,120.584
96,200,124.91199999999999
97,200,121.693
98,200,120.36800000000001
99,200,120.234
100,200,119.904
101,200,120.182
102,200,121.386
103,200,123.281
104,200,122.724
105,200,121.407
106,200,121.715
107,200,122.81599999999999
108,200,122.016
109,200,123.60000000000001
110,200,124.284
111,200,123.421
112,200,121.577
113,200,123.41000000000001
114,200,122.09200000000001
115,200,121.2
116,200,121.033
117,200,120.279
118,200,17.854
119,200,15.068
120,200,15.924000000000001
121,200,16.47
122,200,15.805
123,200,15.072000000000001
124,200,15.17
125,200,19.387
126,200,15.598
127,200,15.295
128,200,13.631
129,200,14.498000000000001
130,200,14.777999999999999
131,200,15.311
132,200,15.079
133,200,15.664000000000001
134,200,16.688000000000002
135,200,19.576
136,200,16.036
137,200,17.532
138,200,20.226999999999997
139,200,19.088
140,200,23.536
141,200,20.777
142,200,16.028000000000002
143,200,18.028
144,200,15.9
145,200,17.156000000000002
146,200,17.326
147,200,19.12
148,200,16.496
149,200,16.266
150,200,16.258000000000003
151,200,14.244
152,200,16.477999999999998
153,200,14.982000000000001
154,200,15.222
155,200,15.961
156,200,15.431000000000001
157,200,14.766
158,200,14.453000000000001
159,200,14.947999999999999
160,200,15.268
161,200,14.924
162,200,13.824
163,200,14.475999999999999
164,200,14.074
165,200,14.439
166,200,14.555
167,200,15.465
168,200,16.861
169,200,14.453000000000001
170,200,13.824
