request_number,action,response_time,status_code
0,first,3942.873,200
1,first,3084.0930000000003,200
2,first,4071.185,200
3,first,2979.104,200
4,first,2894.6960000000004,200
5,first,3269.392,200
6,first,2981.068,200
7,first,3257.66,200
8,first,3319.725,200
9,first,3104.702,200
10,first,3220.67,200
11,first,3035.419,200
12,first,3241.4339999999997,200
13,first,2896.0699999999997,200
14,first,3203.651,200
15,first,3100.535,200
16,first,3099.038,200
17,first,3406.354,200
18,first,3409.547,200
19,first,2999.006,200
20,first,3200.1949999999997,200
21,first,3922.463,200
22,first,3203.855,200
23,first,3901.547,200
24,first,3633.824,200
25,first,3197.795,200
26,first,3414.819,200
27,first,3197.925,200
28,first,2877.348,200
29,first,2991.8300000000004,200
30,first,3326.492,200
31,first,3202.054,200
32,first,3446.173,200
33,first,3178.414,200
34,first,3192.196,200
35,first,3130.442,200
36,first,3072.5820000000003,200
37,first,3199.786,200
38,first,3098.489,200
39,first,2914.549,200
40,first,3085.846,200
41,first,3102.551,200
42,first,3296.701,200
43,first,3202.226,200
44,first,3257.044,200
45,first,3292.745,200
46,first,3574.516,200
47,first,3008.049,200
48,first,3289.943,200
49,first,3203.48,200
50,first,3159.957,200
51,first,2956.2599999999998,200
52,first,3142.971,200
53,first,3250.274,200
54,first,3310.075,200
55,first,3201.29,200
56,first,4124.893,200
57,first,3406.438,200
58,first,3917.081,200
59,first,3210.852,200
60,first,3403.4010000000003,200
61,first,3099.914,200
62,first,3097.734,200
63,first,3306.505,200
64,first,3733.8680000000004,200
65,first,3089.6910000000003,200
66,first,3421.43,200
67,first,4008.733,200
68,first,3021.89,200
69,first,3178.473,200
70,first,3256.262,200
71,first,3332.4379999999996,200
72,first,3224.649,200
73,first,3204.192,200
74,first,3407.692,200
75,first,3146.936,200
76,first,3184.032,200
77,first,3337.115,200
78,first,3250.721,200
79,first,3187.8700000000003,200
80,first,3344.4660000000003,200
81,first,3275.233,200
82,first,3141.1259999999997,200
83,first,3687.807,200
84,first,3202.1220000000003,200
85,first,2998.191,200
86,first,3312.277,200
87,first,3266.2819999999997,200
88,first,3124.924,200
89,first,3215.25,200
90,first,3251.743,200
91,first,3255.25,200
92,first,3309.844,200
93,first,3204.2380000000003,200
94,first,3311.291,200
95,first,3198.7239999999997,200
96,first,3100.904,200
97,first,3408.033,200
98,first,3318.4,200
99,first,3181.34,200
