Request Number,Status Code,Response Time (ms)
1,200,2079.853
2,200,29.558
3,200,25.602
4,200,21.401
5,200,19.352
6,200,15.996
7,200,16.624
8,200,16.021
9,200,16.002
10,200,17.177999999999997
11,200,19.387999999999998
12,200,15.816
13,200,16.016
14,200,21.054
15,200,20.247
16,200,16.145
17,200,15.476
18,200,15.699000000000002
19,200,15.43
20,200,14.938999999999998
21,200,15.198
22,200,15.443999999999999
23,200,19.876
24,200,18.389
25,200,16.674000000000003
26,200,17.984
27,200,15.678999999999998
28,200,17.799
29,200,15.831000000000001
30,200,15.306999999999999
31,200,15.488999999999999
32,200,15.875
33,200,14.536999999999999
34,200,14.748000000000001
35,200,17.409000000000002
36,200,19.498
37,200,15.093
38,200,15.001999999999999
39,200,15.248
40,200,16.62
41,200,16.288
42,200,15.020999999999999
43,200,14.553999999999998
44,200,14.399000000000001
45,200,15.578
46,200,15.606
47,200,14.256
48,200,15.008000000000001
49,200,14.485
50,200,15.325
51,200,15.488999999999999
52,200,15.568
53,200,15.055000000000001
54,200,15.265
55,200,15.620999999999999
56,200,15.828999999999999
57,200,15.199
58,200,15.455
59,200,14.447
60,200,20.431
61,200,16.253
62,200,16.164
63,200,14.822999999999999
64,200,20.203
65,200,20.387999999999998
66,200,19.339
67,200,18.152
68,200,16.308
69,200,15.859000000000002
70,200,18.973
71,200,13.873
72,200,15.095
73,200,18.139
74,200,15.419
75,200,16.57
76,200,15.007
77,200,14.736
78,200,15.349
79,200,14.579
80,200,15.668000000000001
81,200,15.074
82,200,14.454
83,200,15.193999999999999
84,200,16.119
85,200,15.417
86,200,15.521999999999998
87,200,15.136999999999999
88,200,15.028
89,200,16.076
90,200,15.824000000000002
91,200,15.363
92,200,15.439
93,200,15.464
94,200,16.587999999999997
95,200,16.086
96,200,17.967
97,200,14.822000000000001
98,200,15.530999999999999
99,200,14.125
100,200,14.834999999999999
101,200,15.661000000000001
102,200,15.815
103,200,14.333
104,200,1957.615
105,200,132.513
106,200,144.02599999999998
107,200,138.548
108,200,135.86599999999999
109,200,135.108
110,200,135.886
111,200,133.826
112,200,132.971
113,200,139.671
114,200,132.727
115,200,132.72
116,200,133.98499999999999
117,200,134.751
118,200,134.77800000000002
119,200,136.133
120,200,136.154
121,200,135.836
122,200,134.187
123,200,132.136
124,200,133.179
125,200,133.233
126,200,132.492
127,200,133.467
128,200,134.00400000000002
129,200,132.89999999999998
130,200,132.375
131,200,132.364
132,200,132.702
133,200,133.42399999999998
134,200,131.89999999999998
135,200,133.61700000000002
136,200,133.127
137,200,131.14600000000002
138,200,133.252
139,200,133.398
140,200,134.296
141,200,134.65
142,200,136.708
143,200,133.188
144,200,131.30800000000002
145,200,132.608
146,200,131.481
147,200,135.53
148,200,131.551
149,200,133.50799999999998
150,200,131.773
151,200,131.555
152,200,132.488
153,200,139.019
154,200,133.03400000000002
155,200,134.596
156,200,135.726
157,200,131.023
158,200,132.731
159,200,131.75799999999998
160,200,136.917
161,200,133.28400000000002
162,200,131.806
163,200,133.065
164,200,133.50400000000002
165,200,131.801
166,200,132.929
167,200,131.905
168,200,132.22
169,200,133.36999999999998
170,200,134.958
171,200,134.125
172,200,133.443
173,200,133.11100000000002
174,200,133.31
175,200,132.869
176,200,132.239
177,200,21.562
178,200,18.271
179,200,20.254
180,200,24.59
181,200,20.52
182,200,21.26
183,200,20.927999999999997
184,200,19.805
185,200,18.71
186,200,20.034
187,200,21.072
188,200,21.371000000000002
189,200,21.000999999999998
190,200,16.917
191,200,16.192999999999998
192,200,17.657
193,200,16.737
194,200,17.198999999999998
195,200,18.01
196,200,18.284000000000002
197,200,16.26
198,200,15.196
199,200,15.771
200,200,16.247
201,200,16.132
202,200,16.117
203,200,16.545
204,200,15.015
205,200,14.985999999999999
206,200,16.941000000000003
207,200,19.419
208,200,17.119
209,200,16.573999999999998
210,200,18.267
211,200,16.492
212,200,18.12
213,200,18.026
214,200,17.714000000000002
215,200,17.090999999999998
216,200,18.01
217,200,17.787
218,200,16.292
219,200,16.723
220,200,16.651
221,200,17.794999999999998
222,200,42.691
223,200,16.75
224,200,15.024
