request_number,action,response_time,status_code
0,first,5827.505999999999,200
1,first,4997.623,200
2,first,3183.783,200
3,first,4807.45,200
4,first,3236.8579999999997,200
5,first,5806.001,200
6,first,3181.227,200
7,first,6911.232,200
8,first,4087.6960000000004,200
9,first,4625.159,200
10,first,2964.2309999999998,200
11,first,4887.053,200
12,first,3181.934,200
13,first,4695.807000000001,200
14,first,3332.44,200
15,first,4382.933,200
16,first,3698.9269999999997,200
17,first,4741.929,200
18,first,3000.587,200
19,first,5762.176,200
20,first,3036.668,200
21,first,5006.071999999999,200
22,first,3202.772,200
23,first,4431.221,200
24,first,3420.6349999999998,200
25,first,4415.999,200
26,first,3105.136,200
27,first,4428.559,200
28,first,3102.21,200
29,first,4484.785,200
30,first,2964.687,200
31,first,4621.31,200
32,first,3101.074,200
33,first,4456.750999999999,200
34,first,3256.323,200
35,first,4738.3949999999995,200
36,first,3020.886,200
37,first,4948.724,200
38,first,3103.585,200
39,first,4432.357,200
40,first,3309.869,200
41,first,5784.366,200
42,first,3184.284,200
43,first,4696.283,200
44,first,3460.641,200
45,first,4619.153,200
46,first,3220.357,200
47,first,4533.779,200
48,first,3516.8469999999998,200
49,first,4822.473,200
50,first,3220.776,200
51,first,5490.03,200
52,first,3178.13,200
53,first,4638.886,200
54,first,3407.165,200
55,first,5371.138,200
56,first,3593.455,200
57,first,4831.307,200
58,first,3122.313,200
59,first,4596.721,200
60,first,3197.924,200
61,first,4737.129999999999,200
62,first,3302.9739999999997,200
63,first,5869.559,200
64,first,3066.969,200
65,first,4474.111,200
66,first,3164.562,200
67,first,4370.373,200
68,first,3023.819,200
69,first,4506.486,200
70,first,3040.1910000000003,200
71,first,4465.14,200
72,first,3543.281,200
73,first,4472.205,200
74,first,3163.444,200
75,first,4432.090999999999,200
76,first,3611.497,200
77,first,4432.498,200
78,first,3065.33,200
79,first,4773.354,200
80,first,3200.5119999999997,200
81,first,4455.902,200
82,first,3022.83,200
83,first,4589.701,200
84,first,3408.39,200
85,first,5559.302,200
86,first,3080.324,200
87,first,4451.867,200
88,first,3097.902,200
89,first,4840.749,200
90,first,3000.596,200
91,first,4942.491999999999,200
92,first,3309.084,200
93,first,4359.695000000001,200
94,first,3278.5,200
95,first,4687.2699999999995,200
96,first,3158.554,200
97,first,4836.115000000001,200
98,first,3308.004,200
99,first,4946.987,200
